Date,Close/Last,Volume,Open,High,Low
03/01/2023,$353.50,1968084,$354.00,$355.31,$349.39
02/28/2023,$355.29,2733091,$354.81,$357.7954,$353.24
02/27/2023,$355.48,2200873,$355.64,$358.03,$354.82
02/24/2023,$353.12,2016148,$350.82,$354.00,$349.59
02/23/2023,$355.53,1975505,$357.74,$357.74,$351.66
02/22/2023,$354.97,2109544,$355.36,$357.74,$353.21
02/21/2023,$355.96,2730919,$356.76,$361.77,$355.19
02/17/2023,$361.13,2719130,$364.06,$366.70,$359.80
02/16/2023,$367.55,2792721,$364.90,$373.08,$364.90
02/15/2023,$369.64,2203417,$366.28,$369.80,$365.01
02/14/2023,$369.96,1841422,$369.58,$373.41,$367.73
02/13/2023,$370.83,2286551,$368.56,$371.14,$367.07
02/10/2023,$366.83,2270717,$369.64,$370.25,$362.92
02/09/2023,$370.42,2287602,$373.30,$374.57,$369.25
02/08/2023,$370.35,2193818,$373.17,$375.79,$370.14
02/07/2023,$375.06,2309176,$371.51,$377.07,$368.84
02/06/2023,$372.97,2068357,$370.00,$374.33,$369.05
02/03/2023,$373.91,2739672,$370.80,$378.22,$370.49
02/02/2023,$374.94,2761579,$379.52,$380.47,$372.80
02/01/2023,$374.08,2951854,$368.57,$376.78,$367.00
01/31/2023,$370.60,3137379,$369.99,$372.48,$367.02
01/30/2023,$371.12,2688806,$369.46,$373.74,$369.40
01/27/2023,$374.03,3405833,$376.19,$380.52,$373.38
01/26/2023,$377.24,3718355,$383.41,$384.11,$373.00
01/25/2023,$382.39,3501927,$375.10,$382.56,$375.10
01/24/2023,$380.01,2756242,$390.00,$390.00,$349.00
01/23/2023,$378.57,2743884,$376.74,$381.38,$376.36
01/20/2023,$376.28,3863414,$370.23,$376.62,$369.40
01/19/2023,$367.94,3111242,$364.60,$370.80,$363.60
01/18/2023,$368.92,2747128,$374.51,$375.81,$368.50
01/17/2023,$375.00,2814656,$375.00,$378.325,$373.975
01/13/2023,$375.52,4261049,$375.06,$377.87,$374.31
01/12/2023,$379.81,3291386,$377.86,$381.125,$376.92
01/11/2023,$377.86,3370200,$372.62,$377.92,$371.26
01/10/2023,$371.01,3485924,$368.81,$371.68,$367.2104
01/09/2023,$370.97,3913658,$371.63,$375.00,$369.56
01/06/2023,$367.67,4432804,$357.31,$368.72,$355.32
01/05/2023,$351.77,2608546,$356.12,$357.56,$351.27
01/04/2023,$355.15,2661005,$351.39,$356.98,$349.69
01/03/2023,$346.80,2933755,$349.96,$354.66,$343.94
12/30/2022,$347.73,1617719,$345.33,$347.90,$343.6213
12/29/2022,$348.21,1459793,$344.38,$349.72,$343.54
12/28/2022,$341.95,1854082,$346.55,$349.51,$341.78
12/27/2022,$346.16,1637700,$344.10,$346.91,$341.81
12/23/2022,$343.60,1914737,$339.02,$344.54,$337.69
12/22/2022,$341.52,2276404,$344.19,$345.60,$336.43
12/21/2022,$345.69,2086988,$343.64,$347.60,$342.37
12/20/2022,$342.95,1895912,$341.37,$344.37,$340.62
12/19/2022,$341.26,2457278,$345.36,$345.85,$339.5401
12/16/2022,$345.84,5947137,$344.77,$348.24,$343.38
12/15/2022,$346.25,2774976,$351.42,$353.80,$342.56
12/14/2022,$357.51,2587188,$357.00,$362.10,$353.77
12/13/2022,$357.15,3072366,$369.24,$369.26,$355.735
12/12/2022,$358.17,2427292,$350.31,$358.4363,$349.10
12/09/2022,$348.83,2301173,$348.40,$352.77,$347.36
12/08/2022,$351.17,1998664,$350.00,$352.165,$347.2174
12/07/2022,$347.42,2454399,$346.88,$347.85,$341.47
12/06/2022,$347.53,2353297,$353.82,$355.00,$344.35
12/05/2022,$356.09,2202602,$356.00,$358.90,$354.45
12/02/2022,$360.06,2015586,$357.45,$362.285,$356.06
12/01/2022,$360.80,3374744,$357.99,$361.58,$354.05
11/30/2022,$356.40,4252283,$342.85,$356.40,$341.48
11/29/2022,$343.13,1724326,$343.65,$344.72,$340.75
11/28/2022,$344.59,2226412,$346.68,$350.23,$343.23
11/25/2022,$351.29,944409,$348.96,$351.40,$348.075
